sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1485497700;-12;85
1485499500;-12.1;85
1485501300;-12.3;84
1485503100;-11.9;87
1485504900;-11;89
1485506700;-9.4;91
1485508500;-6.7;90
1485510300;-3.6;81
1485512100;-1.6;73
1485513900;-0.9;71
1485515700;-0.5;71
1485517500;0;70
1485519300;0.6;69
1485521100;1.2;67
1485522900;1.7;67
1485524700;2.4;64
1485526500;5.6;55
1485528300;5.8;52
1485530100;3;58
1485531900;1;65
1485533700;-0.3;68
1485535500;-1.5;72
1485537300;-2.4;75
1485539100;-3.1;77
1485540900;-3.8;78
1485542700;-4.6;80
1485544500;-5.2;81
1485546300;-5.8;82
1485548100;-6.3;83
1485549900;-6.7;84
1485551700;-7.2;84
1485553500;-7.6;84
